rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
27,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,Core,78.5,284.95,336.21,20.5,19.0,10.0,0.0,ok,0.0,ok,0.52,,False,49.5,29.9,2.1,24.2,85.9,23.2,36.3,-12.8,-15.6,0.462,0.404,NVDA,,126,19.0,17.0,,False
28,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Growth,238.4,188.99,184.64,19.0,15.1,17.3,-2.0,ok,0.0,ok,-2.88,,False,49.4,36.6,1.6,37.7,63.0,31.5,55.1,23.5,27.2,0.568,0.553,AVGO,,126,15.1,20.0,,False
29,WDAY,"Workday, Inc.",Technology,Software - Application,Core,44.6,185.09,175.84,20.5,18.8,10.0,0.0,ok,0.0,ok,0.23,,False,49.3,14.0,6.8,12.8,75.8,16.0,40.5,15.9,24.2,-0.068,0.451,ETN,,126,18.8,17.0,,False
30,MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchang,Core,80.9,467.36,490.58,20.5,18.7,10.0,0.0,ok,0.0,financial_na,,,False,49.2,24.7,3.2,15.1,75.0,76.9,34.8,-1.0,-3.9,0.038,0.377,MSFT,,126,18.7,16.0,,False
31,IT,"Gartner, Inc.",Technology,Information Technology Service,Core,10.8,170.62,166.22,21.0,18.7,10.0,0.0,ok,-0.5,ok,1.33,,False,49.2,10.4,9.8,-0.6,69.6,113.6,33.9,-3.5,-7.5,-0.184,0.433,ETN,,126,18.7,17.0,,False
32,BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,Growth,22.2,66.33,70.21,21.5,17.7,10.0,0.0,ok,0.0,financial_na,,,False,49.2,13.7,7.4,32.4,56.3,10.0,31.7,-4.0,-15.4,-0.336,0.501,ETN,,126,17.7,15.0,,False
33,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,Core,423.6,107.44,113.83,19.5,19.7,10.0,0.0,ok,0.0,ok,0.82,,False,49.2,19.2,2.6,17.6,64.5,27.3,41.1,13.1,25.2,0.322,0.382,AVGO,,126,19.7,15.0,,False
34,PTC,PTC Inc.,Technology,Software - Application,Core,14.0,128.71,137.46,21.0,18.1,10.0,0.0,ok,0.0,ok,0.98,,False,49.1,14.4,7.4,-6.8,84.5,35.1,22.2,-13.1,-32.0,0.019,0.453,MSFT,,126,18.1,17.0,,False
35,BLK,"BlackRock, Inc.",Financial Services,Asset Management,Growth,172.6,1062.4,1099.14,20.5,18.6,10.0,0.0,ok,0.0,financial_na,,,False,49.1,16.5,4.4,30.6,47.2,12.3,29.5,0.4,1.3,0.433,0.44,GOOG,,126,18.6,15.0,,False
36,TXN,Texas Instruments Incorporated,Technology,Semiconductors,Core,236.4,258.82,278.24,19.0,20.0,10.0,0.0,ok,0.0,ok,0.74,,False,49.0,24.3,1.5,22.8,58.3,35.2,42.5,7.8,23.1,0.416,0.608,ETN,,126,20.0,14.0,,False
37,UBER,"Uber Technologies, Inc.",Technology,Software - Application,Core,148.2,72.56,73.95,21.0,18.4,10.0,0.0,ok,-0.5,ok,1.25,,False,48.9,16.5,4.9,12.2,40.8,37.2,34.0,-4.6,-14.3,0.22,0.317,MSFT,,126,18.4,16.0,,False
38,AON,Aon plc,Financial Services,Insurance Brokers,Core,65.3,307.77,351.95,20.0,18.9,10.0,0.0,ok,0.0,financial_na,,,False,48.9,15.1,4.9,2.2,48.2,44.7,26.8,-8.5,-16.1,-0.297,0.45,ETN,,126,18.9,15.0,,False
39,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualt,Core,63.7,251.79,257.51,22.0,16.7,10.0,0.0,ok,0.0,financial_na,,,False,48.7,9.1,23.8,11.8,36.8,46.1,46.6,13.4,9.0,-0.367,0.434,TSM,,126,16.7,14.0,,False
40,CINF,Cincinnati Financial Corporati,Financial Services,Insurance - Property & Casualt,Growth,26.0,169.59,176.37,22.0,16.7,10.0,0.0,ok,0.0,financial_na,,,False,48.7,18.8,11.5,31.6,31.1,21.5,53.9,1.6,-9.9,-0.251,0.322,AVGO,,126,16.7,14.0,,False
